"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Login Functionality","4","0","Login with multiple user types","0"
"0","","0","Inventory Page Functionality","1","0","Navigate to checkout after adding an item","0"
"0","","0","Security","1","0","SQL injection attempt is safely rejected","0"
"0","","0","Inventory Page Functionality","1","0","Add multiple items to the cart","0"
"0","","0","Login Functionality","1","0","Failed login with invalid credentials","0"
"0","","0","Inventory Page Functionality","1","0","Add a single item to the cart","0"
"0","","0","Dashboard Functionality","3","0","Multiple user types can access the dashboard","0"
"0","","0","Shopping Cart Functionality","1","0","Add a backpack to the cart","0"
"0","","0","Login Functionality","1","0","Successful login with valid credentials","0"
"0","","0","Security","1","0","Security response headers are present","0"
"0","","0","Dashboard Functionality","1","0","Direct URL access without login redirects to login page","0"
"0","","0","Inventory Page Functionality","1","0","Add and then remove an item from the cart","0"
"0","","0","Security","1","0","XSS payload in login field is handled safely","0"
"0","","0","API Health and Data Integrity","1","0","Validate users list endpoint returns multiple records","0"
"0","","0","API Health and Data Integrity","1","0","Validate user API returns 200 and correct data","0"
"0","","0","Dashboard Functionality","1","0","User can logout from the dashboard","0"
